Muni;Mun1;CodigoMunicipio;CodMun ;Mun2
LA JAGUA DE IBIRICO;La Jagua De Ibirico;20400;20400;La Jagua De Ibirico
MANAURE;Manaure;20443;20443;Manaure
PAILITAS;Pailitas;20517;20517;Pailitas
PELAYA;Pelaya;20550;20550;Pelaya
PUEBLO BELLO;Pueblo Bello;20570;20570;Pueblo Bello
RÍO DE ORO;Río De Oro;20614;20614;Río De Oro
LA PAZ;La Paz;20621;20621;La Paz
SAN ALBERTO;San Alberto;20710;20710;San Alberto
SAN DIEGO;San Diego;20750;20750;San Diego
SAN MARTÍN;San Martín;20770;20770;San Martín
TAMALAMEQUE;Tamalameque;20787;20787;Tamalameque
QUIBDÓ;Quibdó;27001;27001;Quibdó
ACANDÍ;Acandí;27006;27006;Acandí
ALTO BAUDÓ;Alto Baudó;27025;27025;Alto Baudó
ATRATO;Atrato;27050;27050;Atrato
BAGADÓ;Bagadó;27073;27073;Bagadó
BAHÍA SOLANO;Bahía Solano;27075;27075;Bahía Solano
BAJO BAUDÓ;Bajo Baudó;27077;27077;Bajo Baudó
BOJAYA;Bojaya;27099;27099;Bojaya
EL CANTÓN DEL SAN PABLO;El Cantón Del San Pablo;27135;27135;El Cantón Del San Pablo
CARMEN DEL DARIÉN;Carmen Del Darién;27150;27150;Carmen Del Darién
CÉRTEGUI;Cértegui;27160;27160;Cértegui
CONDOTO;Condoto;27205;27205;Condoto
EL CARMEN DE ATRATO;El Carmen De Atrato;27245;27245;El Carmen De Atrato
EL LITORAL DEL SAN JUAN;El Litoral Del San Juan;27250;27250;El Litoral Del San Juan
ISTMINA;Istmina;27361;27361;Istmina
JURADÓ;Juradó;27372;27372;Juradó
LLORÓ;Lloró;27413;27413;Lloró
MEDIO ATRATO;Medio Atrato;27425;27425;Medio Atrato
MEDIO BAUDÓ;Medio Baudó;27430;27430;Medio Baudó
MEDIO SAN JUAN;Medio San Juan;27450;27450;Medio San Juan
NÓVITA;Nóvita;27491;27491;Nóvita
NUQUÍ;Nuquí;27495;27495;Nuquí
RÍO IRÓ;Río Iró;27580;27580;Río Iró
RÍO QUITO;Río Quito;27600;27600;Río Quito
RIOSUCIO;Riosucio;27615;27615;Riosucio
SAN JOSÉ DEL PALMAR;San José Del Palmar;27660;27660;San José Del Palmar
SIPÍ;Sipí;27745;27745;Sipí
TADÓ;Tadó;27787;27787;Tadó
UNGUÍA;Unguía;27800;27800;Unguía
UNIÓN PANAMERICANA;Unión Panamericana;27810;27810;Unión Panamericana
MONTERÍA;Montería;23001;23001;Montería
AYAPEL;Ayapel;23068;23068;Ayapel
BUENAVISTA;Buenavista;23079;23079;Buenavista
CANALETE;Canalete;23090;23090;Canalete
CERETÉ;Cereté;23162;23162;Cereté
CHIMÁ;Chimá;23168;23168;Chimá
CHINÚ;Chinú;23182;23182;Chinú
CIÉNAGA DE ORO;Ciénaga De Oro;23189;23189;Ciénaga De Oro
COTORRA;Cotorra;23300;23300;Cotorra
LA APARTADA;La Apartada;23350;23350;La Apartada
LORICA;Lorica;23417;23417;Lorica
LOS CÓRDOBAS;Los Córdobas;23419;23419;Los Córdobas
MOMIL;Momil;23464;23464;Momil
MONTELÍBANO;Montelíbano;23466;23466;Montelíbano
MOÑITOS;Moñitos;23500;23500;Moñitos
PLANETA RICA;Planeta Rica;23555;23555;Planeta Rica
PUEBLO NUEVO;Pueblo Nuevo;23570;23570;Pueblo Nuevo
PUERTO ESCONDIDO;Puerto Escondido;23574;23574;Puerto Escondido
PUERTO LIBERTADOR;Puerto Libertador;23580;23580;Puerto Libertador
PURÍSIMA;Purísima;23586;23586;Purísima
SAHAGÚN;Sahagún;23660;23660;Sahagún
SAN ANDRÉS SOTAVENTO;San Andrés Sotavento;23670;23670;San Andrés Sotavento
SAN ANTERO;San Antero;23672;23672;San Antero
SAN BERNARDO DEL VIENTO;San Bernardo Del Viento;23675;23675;San Bernardo Del Viento
SAN CARLOS;San Carlos;23678;23678;San Carlos
SAN JOSÉ DE URÉ;San José De Uré;23682;23682;San José De Uré
SAN PELAYO;San Pelayo;23686;23686;San Pelayo
TIERRALTA;Tierralta;23807;23807;Tierralta
TUCHÍN;Tuchín;23815;23815;Tuchín
VALENCIA;Valencia;23855;23855;Valencia
AGUA DE DIOS;Agua De Dios;25001;25001;Agua De Dios
ALBÁN;Albán;25019;25019;Albán
ANAPOIMA;Anapoima;25035;25035;Anapoima
ANOLAIMA;Anolaima;25040;25040;Anolaima
ARBELÁEZ;Arbeláez;25053;25053;Arbeláez
BELTRÁN;Beltrán;25086;25086;Beltrán
BITUIMA;Bituima;25095;25095;Bituima
BOJACÁ;Bojacá;25099;25099;Bojacá
CABRERA;Cabrera;25120;25120;Cabrera
CACHIPAY;Cachipay;25123;25123;Cachipay
CAJICÁ;Cajicá;25126;25126;Cajicá
CAPARRAPÍ;Caparrapí;25148;25148;Caparrapí
CAQUEZA;Caqueza;25151;25151;Caqueza
CARMEN DE CARUPA;Carmen De Carupa;25154;25154;Carmen De Carupa
CHAGUANÍ;Chaguaní;25168;25168;Chaguaní
CHÍA;Chía;25175;25175;Chía
CHIPAQUE;Chipaque;25178;25178;Chipaque
CHOACHÍ;Choachí;25181;25181;Choachí
CHOCONTÁ;Chocontá;25183;25183;Chocontá
COGUA;Cogua;25200;25200;Cogua
COTA;Cota;25214;25214;Cota
CUCUNUBÁ;Cucunubá;25224;25224;Cucunubá
EL COLEGIO;El Colegio;25245;25245;El Colegio
EL PEÑÓN;El Peñón;25258;25258;El Peñón
EL ROSAL;El Rosal;25260;25260;El Rosal
FACATATIVÁ;Facatativá;25269;25269;Facatativá
FOMEQUE;Fomeque;25279;25279;Fomeque
FOSCA;Fosca;25281;25281;Fosca
FUNZA;Funza;25286;25286;Funza
FÚQUENE;Fúquene;25288;25288;Fúquene
